person_id,institution,program,start_date,location,standardized_program,education_year
7236,stanford university,graduate certificate in project management,,,Other Education,
7236,keller graduate school of management,mba in project management,,"columbus, oh",Business Administration,
7236,the ohio state university,ba in computer and information sciences,,"columbus, oh",General Science,
7236,cuyahoga community college,as in computer science,,"cleveland, oh",Computer Science,
7237,american military university,bachelor of arts in leadership management,,"charles town, wv",Other Education,
7238,university of maryland university college,bachelor of science in accounting and information systems,12/95,,General Science,
7239,devry university,bachelor of science in computer engineering,2004,"atlanta, ga",General Science,2004
7240,columbia university,certified technology,,"katonah, ny",Other Education,
7240,fredonia state university of new york suny,bachelor of science in business music,,"fredonia, ny",General Science,
7241,university of phoenix,master of science in information systems management,,,General Science,
7242,devry university,bachelor of science in computer engineering,2004,"atlanta, ga",General Science,2004
7243,george washington university,master s in esi project management,01/2006,"washington, dc",Other Education,2006
7243,lander university,bs degree in mathematics,05/1987,"greenwood, sc",Mathematics,1987
7244,university of south florida,bachelor of arts in political science,01/94,"jacksonville, fl",Information Technology,
7245,walden university,doctorate in business administration,03/16,"baltimore, md",Business Administration,
7245,walden university,mba in project management specialization,,"minneapolis, mn",Business Administration,
7245,university of phoenix,bs in business accounting,,"phoenix, az",Other Education,
7246,boston university college of arts sciences,bachelor of arts in economics,05/10,"boston, ma",Other Education,
7247,devry university,bachelor of science in technical management,2007,"miramar, fl",General Science,2007
7247,keller graduate school,mba in project mgmt,,"miramar, fl",Business Administration,
7248,"roosevelt university - chicago, il",music education,,"chicago, il",Other Education,
7249,western international university,bachelor of science in information technology,2004,"phoenix, az",Information Technology,2004
7250,north idaho college,philosophy,2012/,,Other Education,2012
7251,university of minnesota,bs,,,Other Education,
7252,pepperdine university,mba in business administration and management,,,Business Administration,
7252,california state university-fullerton,ba in communications,,"fullerton, ca",Other Education,
7253,university of guyana,bachelor of arts in mathematics,,,Mathematics,
7254,university of pune,bachelor of science,,"pune, maharashtra",General Science,
7254,henry ford community college,certification,,"dearborn, mi",Other Education,
7255,university of phoenix,mba in business administration,,"phoenix, az",Business Administration,
7255,david lipscomb university,ba in chemistry,,"nashville, tn",Other Education,
7257,"the university of texas - austin, tx",master s in operations research and industrial engineering,05/13,"austin, tx",Other Education,
7257,"cornell university - ithaca, ny",bs in applied economics and management,05/11,"ithaca, ny",Other Education,
7258,northeastern university,master of science in project management,09/2019,"boston, ma",General Science,2019
7258,kaplan university,bachelor of science in criminal justice,12/2010,"fort lauderdale, fl",General Science,2010
7260,universidad autonoma de nuevo leon,mba in all training on techniques and tools,,,Business Administration,
7260,universidad autonoma de nuevo leon,"bachelor of science in bs , control and computer engineering",,,General Science,
7261,stevens institute of technology,m.s. in information systems,2004,"hoboken, nj",Other Education,2004
7261,lehigh university,b.s. in environmental sciences resource management,1993,"bethlehem, pa",General Science,1993
7262,robert morris college,associate of applied science in computer information systems,09/01,"springfield, il",General Science,
7262,robert morris college,bachelor of applied science in computer information systems,09/07,"springfield, il",General Science,
7263,new jersey institute of technology,b.s. in management information systems,,,Other Education,
7264,oglethorpe university,bachelor of business administration in business administration,,"atlanta, ga",Business Administration,
7265,troy state university,b. s. in computer information science,1995,"troy, al",General Science,1995
7265,community college of the air force,a.a.s. in hospital administration,1988,,Information Technology,1988
7267,boston university,master of arts in business management,08/16,"auburn, al",Other Education,
7267,the college of saint scholastica,bachelor of science degree in civil engineering,,"saint paul, mn",Civil Engineering,
7267,auburn university,six sigma green belt certification,2018,"minneapolis, mn",Other Education,2018
7268,university of houston,bachelor in business management,05/23,"houston, tx",Other Education,
7269,chapman university,b.a in communication,08/2010,"los angeles, ca",Other Education,2010
7270,cambridge college,m.s. in management,2009,,Other Education,2009
7270,park university,b.s. in computer science,2001,,Computer Science,2001
7270,park university,b.s. in social psychology,1997,,Other Education,1997
7271,london school of economics,msc in accounting and finance,,london,Other Education,
7271,auburn university of montgomery,bsba in finance,,"montgomery, al",Other Education,
7272,california state university,computer science,,,Computer Science,
7272,soongsil university,physics,,"seoul, kr",Physics,
7273,western governors university,masters of business administration in information technology management,,"salt lake city, ut",Information Technology,
7273,university of california davis,bachelor of science in electrical engineering,,"davis, ca",Electronics Engineering,
7274,thunderbird school of global management,mba in business administration,,,Business Administration,
7274,thapar inst of eng tech,master s in computer science,,,Computer Science,
7275,golden gate university,master of science in it management,05/16,"san francisco, ca",Information Technology,
7276,american public university,master s degree of cyber security in cyber security,,,Information Technology,
7276,"capella university - minneapolis, mn",phd in abd,,"minneapolis, mn",Other Education,
7276,"university of st. thomas - saint paul, mn",master of science in information system software,,"saint paul, mn",General Science,
7276,"metro state university - saint paul, mn",bachelor of arts in accounting and business administration,,"saint paul, mn",Business Administration,
7276,"hennepin technical college - eden prairie, mn",computer programming and networking,,"eden prairie, mn",Other Education,
7277,university of science art,msc in computer engineering,09/16,"yazd, iran",Other Education,
7278,"massachusetts institute of technology - mit, sloan school",advanced certificate in executives,2018,"us - boston, ma",Other Education,2018
7278,maastricht school of management,doctoral,2008,"lima, pe",Other Education,2008
7278,universidad san ignacio de loyola/ fullerton state university,master of business administration in business administration,1998,"lima, pe",Business Administration,1998
7278,universidad nacional mayor de san marcos,bachelor of science in operations research,,"lima, pe",General Science,
7279,monterrey institute of technology,industrial engineering,2013/09,"medford, or",Other Education,2013
7280,university of central florida,coding boot camp,2019/01,"orlando, fl",Other Education,2019
7280,"massachusetts institute of technology - mit, sloan school",advanced certificate in executives,2018/01,"boston, ma",Other Education,2018
7280,maastricht school of management,doctoral,2008/01,"lima, pe",Other Education,2008
7280,universidad san ignacio de loyola/ fullerton state university,master of business administration in business administration,1998/01,"lima, pe",Business Administration,1998
7280,universidad nacional mayor de san marcos,bachelor of science in operations research,,"lima, pe",General Science,
7281,american university of paris,computer science,1990,"paris, france",Computer Science,1990
7282,florida state college at jacksonville,bachelor s degree in supervision and management,2010,,Other Education,2010
7283,the chubb institute of technology,diploma in computer programming,,,Other Education,
7283,uh clear lake and sam houston state university,bachelor of business administration in business administration,,,Business Administration,
7284,baylor university,master of business administration mba,09/16,"waco, tx",Business Administration,
7284,arizona state university-tempe,bachelor s in business administration,09/00,tempe,Business Administration,
7285,jones international university,masters in business administration project management,06/00,"centennial, co",Business Administration,
7285,texas southern university,b.s. in computer science,06/00,"houston, tx",Computer Science,
7287,microage learning center,core management in core management,,"edison, nj",Other Education,
7287,learning tree international,active directory in mcp,,"oceanport, nj",Other Education,
7288,southern new hampshire university,ba in journalism and mass communication,,,Other Education,
7289,bellevue university,bs in business information systems,,"bellevue, ne",Other Education,
7290,pittsburgh technical institute,associate in information technology in network security,09/07,"oakdale, pa",Information Technology,
7290,western school of heath business,associate degree in medical,09/00,"pittsburgh, pa",Other Education,
7291,it engineer mba,it engineer mba,,,Information Technology,
7292,the university of iowa,bachelor of business administration in business administration,,"iowa city, ia",Business Administration,
7293,kennesaw state university,b.s. in computer science,2000,"kennesaw, ga",Computer Science,2000
7293,dekalb college,a.s. in computer science,1995,"clarkston, ga",Computer Science,1995
7294,southern polytechnic state university,b.s. in political science,06/2003,"atlanta, ga",Information Technology,2003
7295,oregon institute of technology,bs in computer science,09/84,"klamath falls, or",Computer Science,
7296,"george mason university, school of business",bachelor of science in information systems operations management,05/16,"fairfax, va",General Science,
7296,northern virginia community college,associate of science in business administration,05/14,"annandale, va",Business Administration,
7297,almeda university,ms degree in information technology,1997,,Information Technology,1997
7298,amberton university,masters of business administration in strategic leadership,11/06,,Business Administration,
7298,"university of arkansas at little rock - little rock, ar",bachelor of business administration in management information systems,06/04,"little rock, ar",Business Administration,
7300,university of alabama,bachelor of science in business administration in marketing,08/90,"tuscaloosa, al",Business Administration,
7301,mcneese state university,bba - some college in general business administration,,"lake charles, la",Business Administration,
7301,sowela technical community college,aat in computer technology,,"lake charles, la",Other Education,
7302,oakland community college,associates in computer information systems,,"farmington hills, mi",Other Education,
7304,european business school of barcelona,mba,,barcelona,Business Administration,
7304,universidad del valle de m xico,b.s in computer science,,mexico city,Computer Science,
7305,university of phoenix,m.sc. in information systems in cyber security certificate,2017/06,,Information Technology,2017
7305,independent university,b.sc. in computer science in management information system,2001/01,,Computer Science,2001
7306,st.edward s university,mba in business administration,09/2014,,Business Administration,2014
7306,st.edward s university,bba in business administration,01/2010,,Business Administration,2010
7307,university of maryland university college,m.s. in management of information systems,"College Park, MD","college park, md",Other Education,
7307,eastern mennonite university,b.s. in management and organizational development,"Harrisonburg, VA","harrisonburg, va",Other Education,
7308,drake university,bs in computer information systems,,"des moines, ia",Other Education,
7309,universidad nacional de costa rica,mcs masters in computer science,2006/09,"san jose, ca",Computer Science,2006
7309,universidad internacional de las americas,bachelor degree in computer science engineering,2001/09,"san jos , provincia de san jos",Computer Science,2001
7310,university of dallas,mba in engineering and project management,,"irving, tx",Business Administration,
7310,universidad santo tomas,bs in computer science and electrical engineering,,,Computer Science,
7311,augsburg college,business administration,05/90,may 1990,Business Administration,
7312,north carolina wesleyan college,bachelor of science in business administration,,,Business Administration,
7312,pennsylvania state university,associate of science in telecommunications,,,General Science,
7314,gannon university,"business administration, bs",09/1982,"erie, pa",Business Administration,1982
7314,gannon university,bachelor s in business administration,09/1976,"erie, pa",Business Administration,1976
7315,"university of colorado - denver, co","master s in business administration, business intelligence specialty",2017,"denver, co",Business Administration,2017
7315,"university of auckland - auckland, new zealand",bachelor s in information systems,2005,"auckland, new zealand",Other Education,2005
7316,colorado technical university,bachelors of science in project management,,,General Science,
7316,university of cincinnati,business administration,,,Business Administration,
7317,university of california berkeley,bachelor of science in business management,,"berkeley, ca",General Science,
7318,walden university,doctoral in psychology,2014/09,,Other Education,2014
7318,university of phoenix,bachelor of science in business management,1999/09,,General Science,1999
7318,university of the rockies,master of arts in psychology,2013/09,golden,Other Education,2013
7319,college of dupage,trade school,,"glen ellyn, il",Other Education,
7320,adelphi university / garden city,ba in finance,,"garden city, ny",Other Education,
7320,columbia university / new york,database application development and design,,"new york, ny",Other Education,
7320,pace university,information systems management,,"new york, ny",Other Education,
7321,university of oregon,bachelor of science in environmental studies,2011/,"eugene, or",General Science,2011
7323,delaware valley university,master s in business administration,05/20,"doylestown, pa",Business Administration,
7323,"temple university, school of media and communications, fox school of business","bachelor of arts in communications and, business administration",08/99,"philadelphia, pa",Business Administration,
7324,northeastern illinois university,bachelor of science in information science,09/19,"chicago, il",General Science,
7325,devry university,bs in computer engineering technology,2003,"phoenix, az",Other Education,2003
7326,midlands technical college,associates degree in computer science in computer science/business management,,,Computer Science,
7326,university of maryland and the university of central state,bachelors degree in additional computer science and business management,,,Computer Science,
7327,northland international university,ba in camp ministry,2004,,Other Education,2004
7327,carroll community college,business administration,2001,,Business Administration,2001
7327,carroll county career technology center,environmental engineering,1999,,Other Education,1999
7327,carroll county career technology center,computer technology,1998,,Other Education,1998
7328,howard university,b.s in computer systems engineering,,"washington, dc",Other Education,
7329,university of california - los angeles,bachelor of arts in history,,"los angeles, ca",Other Education,
7330,"university of illinois - champaign, il",bachelors of science in computer science mathematics,,"champaign, il",Computer Science,
7331,college of lake county,project management certification,2010/01,"grayslake, il",Other Education,2010
7332,monmouth university,master of arts in teaching,09/08,,Other Education,
7332,university of delaware,bachelor of arts in music,09/03,,Other Education,
7333,lawrence technological university,master of business administration in business administration,08/YY,"southfield, mi",Business Administration,
7333,tuskegee university,bachelor of science in electrical engineering,08/YY,"tuskegee, al",Electronics Engineering,
7334,palm beach state college,associates degree,2010,,Other Education,2010
7334,brevard community college,partial business administration,2006,,Business Administration,2006
7335,university of california - davis,"bs, policy analysis planning",,ca,Other Education,
7335,city college of san francisco,certificate of achievement in computer science,,,Computer Science,
7336,rosebank college,b. sc in comp.sc,2006,,Other Education,2006
7336,"university of durban - westville, kwazulu-natal",senior certificate in matric,2003,kwazulu-natal,Other Education,2003
7336,khamane high school,project management methodologies and tools,1997,,Other Education,1997
7337,"university of missouri - kansas city, ks",b.a. in communication studies,09/1996,"kansas city, ks",Other Education,1996
7338,city university of new york,bachelor of arts in ba education,,,Other Education,
7338,adelphi university,certificate in paralegal studies,,,Other Education,
7339,virginia western community college,internet programming certificate in information technology,,"roanoke, va",Information Technology,
7339,virginia polytechnic institute and state university,master s in business administration,,"blacksburg, va",Business Administration,
7339,university of wisconsin-madison,master s in forest economics,,"madison, wi",Other Education,
7339,university of s o paulo,bachelor s in forestry,,"piracicaba, sp, brazil",Other Education,
7340,davenport university,pmp,2010,,Other Education,2010
7340,cornerstone university,mba in technology basics,2006,,Business Administration,2006
7341,university of miami,masters in industrial engineering,07/2008,"coral gables, fl",Other Education,2008
7341,florida international university,masters in business administration,09/1996,"miami, fl",Business Administration,1996
7341,engineering university,bachelors in mechanical engineering,09/1996,"lahore, pk",Mechanical Engineering,1996
7343,st leo university,masters of business administration in management,08/17,"saint leo, fl",Business Administration,
7343,michigant state university,bachelors in advertising communications,05/13,"east lansing, mi",Other Education,
7344,grand canyon university,ms in health care informatics,04/19,health care informatics,Other Education,
7344,capella university,bs in information technology,05/13,project management,Information Technology,
7345,university of madras,b.tech,,"chennai, tamil nadu",Other Education,
7346,webster university,mba,12/03,"st. louis, mo",Business Administration,
7346,langston university,bba in mis,12/01,"langston, ok",Other Education,
7347,intercontinental university,master in business administration in project management,,,Business Administration,
7347,st leo university,bachelor of arts in health care administration,,,Other Education,
7348,chung yuan christian university,bachelor of industry engineering in education,09/00,"taipei, tw",Other Education,
7349,southeastern oklahoma state university,bachelor of science,,"durant, ok",General Science,
7350,queen mary university of london,bsc in economics,,united kingdom,Other Education,
7350,enfield college,certificate in project management,,united kingdom,Other Education,
7350,lewisham college,diploma in business management in information technology infrastructure library,,united kingdom,Information Technology,
7352,st olaf college,"b.a. in business management in english, american racial multicultural studies",09/2003,"minneapolis, mn",Other Education,2003
7352,manual arts senior high school,high school or equivalent,09/1999,"los angeles, ca",Other Education,1999
7353,olathe north high school,high school or equivalent,1989,"olathe, ks",Other Education,1989
7353,national american university,health information technology,,"lees summit, mo",Information Technology,
7354,hampton university,bachelor s in entrepreneurship/ business,08/2007,"hampton, va",Other Education,2007
7355,"dimitrie cantemir university - bucharest, ro",bachelor degree in business management,,"bucharest, ro",Other Education,
7356,fresno state,b.s. in biology in premed,,present,Other Education,
7356,clovis community college,as,,,Other Education,
7358,audrey cohen college,business,,,Other Education,
7358,dale carnegie,management training,,,Other Education,
7359,national louis university,bachelor of science in management,,"tampa, fl",General Science,
7359,villanova university,certificate,,"villanova, pa",Other Education,
7360,university of cincinnati,bfa dance,,,Other Education,
7360,"xavier university - cincinnati, oh",bfa visual arts,,"cincinnati, oh",Other Education,
7361,"university of phoenix - los angeles, ca",b.s. in environmental sciences,,"los angeles, ca",General Science,
7362,unc kenan-flagler business school,mba,09/2017,"chapel hill, nc",Business Administration,2017
7362,sardar patel university,bachelor s in information technology,01/2002,"anand, gujarat",Information Technology,2002
7364,"keller graduate school of management, devry university",master of business administration in project management,07/08,"phoenix, az",Business Administration,
7364,devry university,bachelor of science in technical management in technical management,07/08,"phoenix, az",General Science,
7366,soongsil university,computer science,09/1995,,Computer Science,1995
7366,heoseo university,computer science,03/1987,,Computer Science,1987
7367,university of toledo,bachelor s in information systems,00/96,"toledo, oh",Other Education,
7367,university of toledo,master s in finance,00/00,"toledo, oh",Other Education,
7368,"pennsylvania state university, college of information sciences and technology",master of professional studies in enterprise architecture and business transformation,03/21,"university park, pa",Information Technology,
7368,"hamline university, school of business",master of business administration in business administration,08/10,"saint paul, mn",Business Administration,
7368,"university of st. thomas, school of arts sciences",b.a. in history,12/05,"saint paul, mn",Other Education,
7371,oregon state university,ba in speech communications,,"corvallis, or",Other Education,
7372,sri venkateswara university college of engineering,masters degree in computer applications in program management,,"tirupati, andhra pradesh",Other Education,
7373,indian institute of management,mba in business management,,,Business Administration,
7373,indian institute of technology,bachelor of technology in technology,,,Other Education,
7374,university of missouri - kansas city,bachelor of science in physics in business intelligence,09/15,"kansas city, mo",Physics,
7375,the state university of new jersey,bachelors of arts in arts and science,05/15,"new brunswick, nj",General Science,
7376,"california state university, northridge",bachelor s in business administration and management,05/07,"northridge, ca",Business Administration,
7377,"new york university, college of arts and science",bachelor of science in computer science,05/19,"new york, ny",Computer Science,
7378,north carolina wesleyan college,bachelor of science in computer information systems- concentration pre-engineering / minor criminal justice,08/13,"rocky mount, nc",General Science,
7380,"university at albany, state university of new york",bachelor of arts in communications,05/13,"albany - new york, ny",Other Education,
7381,post university,masters of business administration in business administration economics,10/2012,"waterbury, ct",Business Administration,2012
7381,keiser university-ft lauderdale,bachelors in finance intl in finance intl business,05/2009,"fort lauderdale, fl",Other Education,2009
7382,walden university,master s in business administration,08/16,,Business Administration,
7382,"winthrop university - rock hill, sc",bachelor s in chemistry,08/08,"rock hill, sc",Other Education,
7383,rochester institute of technology,master s in computer science,01/14,santo domingo,Computer Science,
7383,pontificia universidad cat lica madre y maestra,bachelor s in telematics engineering,08/09,"santo domingo, do",Computer Science,
7384,florida state university,bachelor of science in management information systems,05/14,"tallahassee, fl",General Science,
7385,university of wisconsin - stout,applied mathematics and computer science in information assurance and cyber security,08/14,"menomonie, wi",Computer Science,
7386,"university of houston - houston, tx",bachelors of business administration in management information systems,2016,"houston, tx",Business Administration,2016
7387,northern arizona university,b.s. in biology / exercise,08/14,"flagstaff, az",Other Education,
7388,university of wisconsin - eau claire,bachelor of liberal studies in behavioral science,,"eau claire, wi",General Science,
7389,grand canyon university,master of public administration - mpa focused in healthcare administration,12/16,"phoenix, az",Other Education,
7389,western carolina university,bachelor of science - psychology,05/16,,General Science,
7390,johnson wales university,masters of business administration in business administration,11/17,"providence, ri",Business Administration,
7390,bryant university,bachelor of science in accounting,05/14,"smithfield, ri",General Science,
7391,st. cloud state university,master of science in information assurance,08/17,"saint cloud, mn",General Science,
7391,university of kelaniya,bachelor of business management,,"colombo, lk",Other Education,
7392,north carolina agricultural technical state university,master of science in biomedical engineering/nano engineering,09/15,"greensboro, nc",General Science,
7392,north carolina agricultural technical state university,bachelor of science in industrial engineering,09/09,"greensboro, nc",General Science,
7395,university of southern california,master of science in computer science,05/16,"los angeles, ca",Computer Science,
7395,vellore institute of technology,bachelor of science in computer science,05/14,"vellore, tamil nadu",Computer Science,
7397,university of massachusetts - boston,doctorate in environmental science,2015/,"boston, ma",General Science,2015
7397,duke university,dual masters of environmental management mem divinity m.div.,2008/,,Information Technology,2008
7397,franklin marshall college,b.a. in environmental studies theatre,2003/,,Other Education,2003
7398,capella university,master s in information assurance and security in network defense,06/19,"minneapolis, mn",Information Technology,
7398,university of grand forks,bachelor in computer science and information system,05/16,grand forks,Computer Science,
7399,ivy tech community college,associate s in it support,05/19,"columbus, in",Information Technology,
7400,keller graduate school of management,mba in management of human resources,,,Business Administration,
7400,keller graduate school of management,master s in project management,,,Other Education,
7400,the ohio state university,bs,,,Other Education,
7401,gannon university,masters in engineering management,12/17,"erie, pa",Other Education,
7402,lasell college,bachelor of arts in business management communications,09/12,september 2012 to may 2016,Other Education,
7403,university of wisconsin - eau claire,bachelors of social work in social work,09/14,"eau claire, wi",Other Education,
7404,oklahoma state university,management of information systems,01/16,,Other Education,
7405,oral roberts university,bachelor s in biology concentration pre-medicine minor biochemistry,08/15,"tulsa, ok",Other Education,
7406,"illinois institute of technology, armour college of engineering",bachelor of science in engineering management in electrical engineering,01/13,"chicago, il",Electronics Engineering,
7408,national louis university,m.b.a. in business administration,,"chicago, il",Business Administration,
7408,dominican university,b.b.a. in business administration,,"river forest, il",Business Administration,
7408,morton college,a.a. applied science,,"cicero, il",General Science,
7409,university of massachusetts,masters of science,05/92,"amherst, ma",General Science,
7409,duke university,bachelor of arts in history,05/89,"durham, nc",Other Education,
7410,florida state university,bachelor of arts in english,2013,"tallahassee, fl",Other Education,2013
7411,centura college,associate of occupational science degree computer network management,02/12,,General Science,
7412,florida institute of technology,m.s.information technology in management/cyber security,09/2014,"melbourne, fl",Information Technology,2014
7413,the city college of new york,bs in computer science,09/19,"new york, ny",Computer Science,
7414,"temple university, fox school of business",bachelor of business administration in management information systems,05/16,"philadelphia, pa",Business Administration,
7415,barton community college,associate in general studies,07/16,"fort leavenworth, ks",Other Education,
7415,naples american middle-high school,high school or equivalent in general studies,08/14,"naples, it",Other Education,
7416,metropolitan state university of denver,bachelor of business administration in business administration,,,Business Administration,
7417,florida atlantic university,certificate in project management,09/2017,"boca raton, fl",Other Education,2017
7417,mcfatter technical college,certificate in applied cyber security,08/2015,"davie, fl",Information Technology,2015
7417,atlantic technical college,certificate in database application development programming in sql database,01/2014,"margate, fl",Other Education,2014
7417,university of phoenix,master of business administration in management,10/2009,"miami, fl",Business Administration,2009
7417,university of phoenix,bachelor of science in management,09/2006,"miami, fl",General Science,2006
7418,the university of texas at austin,bachelor of business administration in mis,05/15,"austin, tx",Business Administration,
7418,university of new south wales,business,03/13,,Other Education,
7419,university of north texas,bachelor of science in computer science,,"denton, tx",Computer Science,
7419,northeast texas community college,associate of science in computer science,,"mount pleasant, tx",Computer Science,
7420,university of st thomas,certificate,,"minneapolis, mn",Other Education,
7420,augsburg college,bachelor of arts in history,,"minneapolis, mn",Other Education,
7421,miami university,bachelor of political science in history,08/10,"oxford, oh",Information Technology,
7422,foothill college,certificate in information technology,02/17,"san francisco, ca",Information Technology,
7422,san francisco state university,bachelor of arts in communications,2014,"san francisco, ca",Other Education,2014
7423,tamkang university,master of engineering in mechanical and electrical-mechanical,09/15,"taipei, tw",Electronics Engineering,
7423,national chung cheng university,bachelor of science,09/10,,General Science,
7424,new jersey institute of technology,bachelor s in computer engineering technology,01/13,"newark, nj",Other Education,
7425,florida institute of technology,bachelor of science in information systems,05/14,"melbourne, fl",General Science,
7425,northeastern university,bachelor of science in information security management,12/15,"boston, ma",Information Technology,
7426,york county community college,associate of science in health science,03/17,"wells, me",General Science,
7426,kaplan university,associate of arts in liberal studies,12/09,"portland, me",Other Education,
7427,eastern connecticut state university,bachelor of science in business information systems,05/16,may 2016,General Science,
7428,"university of rochester - rochester, ny",master of science in technical entrepreneurship and management in mechanical engineering,05/2015,"rochester, ny",Mechanical Engineering,2015
7428,"university of puerto rico - mayag ez, pr",bachelor of science in industrial engineering,06/2012,"mayag ez, pr",General Science,2012
7429,university of houston,bachelor of science in computer science,12/18,"houston, tx",Computer Science,
7430,southern connecticut state university,master of science in network information security,05/20,"new haven, ct",Information Technology,
7431,unity college,environmental studies,,"unity, me",Other Education,
7432,saint augustine s university,none in business administration,08/1989,"raleigh, nc",Business Administration,1989
7433,university of texas at dallas- naveen jindal school of management,master s in business administration mba,2013,"richardson, tx",Business Administration,2013
7433,the university of north texas,bachelor s in business administration bba,2011,"denton, tx",Business Administration,2011
7436,university of southern california,m.s. in electrical engineering,1996/09,"los angeles, ca",Electronics Engineering,1996
7436,university of west florida,m.s. in mathematics,1993/09,"pensacola, fl",Mathematics,1993
7437,kutztown university,bachelor of science in business management,,"kutztown, pa",General Science,
7438,dunya university,bachelor of arts in international business in information technology,11/13,"sacramento, ca",Information Technology,
7440,pennsylvania college of technology,bachelor of science in software development and information management,05/15,"williamsport, pa",General Science,
7441,saint leo university,master of business administration in cybersecurity,11/18,"duluth, ga",Information Technology,
7441,devry university,bachelor of science in technical management,2013,"alpharetta, ga",General Science,2013
7442,indian institute of management - kolkata,mba,,west bengal,Business Administration,
7442,delhi university - delhi,bs hons in chemistry,,delhi,Other Education,
7443,qed information sciences,computer engineering,,,Other Education,
7443,bentley college,computer engineering,,,Other Education,
7443,university of bridgeport,computer science,,"bridgeport, ct",Computer Science,
7443,keystone junior college,electrical engineering,,"la plume, pa",Electronics Engineering,
7445,university of north texas,b.a. in history,,"denton, tx",Other Education,
7446,old dominion university,bachelor s in english,,"norfolk, va",Other Education,
7447,university of maryland university college,bachelor of science in information systems management,2014,,General Science,2014
7448,depaul university,bs computer science,1990/09,"chicago, il",Computer Science,1990
7449,itt technical institute,bachelor s in applied science electronic engineering,01/88,"aurora, co",General Science,
7449,be e school,certificate of completion in electronics and electrical components,06/84,"san diego, ca",Electronics Engineering,
7450,rice university,pmp,2016,"houston, tx",Other Education,2016
7451,new jersey institute of technology,project management,12/2014,,Other Education,2014
7451,university of north florida,associate degree in aviation operations,08/2011,,Other Education,2011
7452,the university of texas at austin,master of business administration in strategic management and it management,08/YY,"austin, tx",Information Technology,
7452,austin college,mba in golf,08/YY,"sherman, tx",Business Administration,
7453,birla institute of technology,bachelor s in electronics communication engineering,,,Electronics Engineering,
7454,university of phoenix,master in business administration,2018/,"phoenix, az",Business Administration,2018
7454,university of phoenix,bachelors in information technology,2017/,"phoenix, az",Information Technology,2017
7454,florida atlantic university,project management,2013/,,Other Education,2013
7454,wi university,associate of arts in business administration,2007/,"phoenix, az",Business Administration,2007
7455,concordia university,master of science in exercise science human performance,06/20,,General Science,
7455,concordia university,master of arts in organizational leadership,2010,,Other Education,2010
7455,seton hall university,bachelor of arts in english,1993,,Other Education,1993
7457,purdue university global,bachelor of science in computer technology in computer science and technology,09/1995,,Computer Science,1995
7458,university of phoenix,business administration,,,Business Administration,
7458,fredonia state college,business administration,,,Business Administration,
7458,buffalo state college,communications,,,Other Education,
7459,university of phoenix,b.s. in information technology,06/06,,Information Technology,
7459,"itt technical institute - tucson, az",a.a.s. in electronics engineering technology,12/05,"tucson, az",Computer Science,
7462,wright state university,master s degree in business administration in project management,09/10,"dayton, oh",Business Administration,
7462,the ohio state university,bachelor s of arts in english in english,09/05,"columbus, oh",Other Education,
7463,keller graduate school of management,mba in project management,,,Business Administration,
7463,university of dayton,bs in computer information systems,,,Other Education,
7464,du quoin high school,general degree,06/1980,"du quoin, il",Other Education,1980
7464,john logan college,general studies,1980,"carterville, il",Other Education,1980
7465,regis university,bachelors of science in business technology management,00/00,"denver, co",General Science,
7466,"w. p. carey school of business, arizona state university",bachelor of science in computer information systems,,"tempe, az",General Science,
7467,tennessee technological university,bachelors of science in mis,,,General Science,
7467,middle tennessee state university,accounting,,,Other Education,
7468,wizo,high school or equivalent in photography,07/2000,"los angeles, ca",Other Education,2000
7468,comptia learning tree,certificate,04/2019,"los angeles, ca",Other Education,2019
7469,hamline university,master of business administration in global business,12/09,"shanghai, cn",Business Administration,
7469,lakeland college,b.a. in business administration,12/06,,Business Administration,
7470,community college of the air force,associate of science in electronic systems technology,08/2007,,General Science,2007
7470,pensacola state college,bachelor of applied science in project management,,,General Science,
7471,colorado state university-global campus,master s in finance,05/15,"denver, co",Other Education,
7471,colorado state university,master s in project management with a focus of business intelligence,2013,,Information Technology,2013
7471,university of phoenix,bachelor s in health care administration,2010,"phoenix, az",Other Education,2010
7472,arizona state university,master of science degree in information management,2016,"tempe, az",General Science,2016
7472,arizona state university,bachelor of science degree in computer information systems,2008,"tempe, az",General Science,2008
7473,swinburne university,master of information technology in information systems,09/09,melbourne vic,Information Technology,
7473,bangalore university,bachelor of computer application in computer application,09/07,"bengaluru, karnataka",Other Education,
7474,musicians institute,journeyman certificate in commercial music recording engineer and production,06/2006,"hollywood, ca",Other Education,2006
7474,long beach city college,associate in commercial music recording engineer/producer,08/2003,"long beach, ca",Other Education,2003
7474,cal state university of long beach,bachelors degree,06/2000,"long beach, ca",Other Education,2000
7475,university of miami,bachelor of science,,,General Science,
7476,western governors university,bachelor s in business management,05/17,"salt lake city, ut",Other Education,
7476,salt lake community college,associate in humanities,1999,"salt lake city, ut",Information Technology,1999
7477,washington u,graduate certificate in project management,08/2008,"st. louis, mo",Other Education,2008
7477,university of missouri,m.b.a. in finance,08/2005,"st. louis, mo",Other Education,2005
7477,the university of kansas,b.a. in economics,08/2000,,Other Education,2000
7479,university of phoenix,bsc,2010,"phoenix, az",Other Education,2010
7480,bryant university,master s in information systems,01/06,"smithfield, ri",Other Education,
7480,university of southern mississippi,bachelor s in history,08/93,"hattiesburg, ms",Other Education,
